english,bodo,mizo,category
open your notebooks,नायनि फोरमाखौ खेव,I lehkhabu hawng rawh,Classroom Instruction
close your books,नायनि किताबखौ बन्द थ,I lehkhabu khar rawh,Classroom Instruction
please sit down,अननानै फुं,Thu rawh le,Classroom Instruction
stand up everyone,गासै दिंना,Mi zawng ding rawh,Classroom Instruction
be quiet please,अननानै थिरगोन दङ,Dâwiin dâi la,Classroom Instruction
pay attention to the board,बोर्ड आव गोहोम सोद,Board kha ngaithla rawh,Classroom Instruction
turn to page five,पेज पाँच आव गासै फिन,Phek nga hawn rawh,Classroom Instruction
write this down,बेखौ लिरगोन,Hei hi ziak rawh,Classroom Instruction
stop talking,फोथाय खौरांगोन,Thu sawi tawh rawh,Classroom Instruction
listen carefully,मोनो खालामगोन,Ngaithla ṭha takin,Classroom Instruction
raise your hand,नायनि खुन्थाखौ थोन,I kut kalh rawh,Classroom Instruction
work in pairs,नैथिनि जुगुथाव गोब थ,Paihra hrang hrangah thawk rawh,Classroom Instruction
form groups of four,ब्राय गुसुथि मिथिफोर,Mi pali group siam rawh,Classroom Instruction
copy from the board,बोर्ड नायनो आफादगोन,Board atangin copy rawh,Classroom Instruction
put away your phones,नायनि फोन फोरायदों,I phone dah rawh,Classroom Instruction
take out your pens,नायनि कलम गोनां लानो,I pen la chhuak rawh,Classroom Instruction
look at the screen,स्क्रीन आव नायदोन,Screen kha en rawh,Classroom Instruction
come to the front,सिगां आव लाबो,Hmabak lam lo rawh,Classroom Instruction
go back to your seat,नायनि जायगा आव नायनो होयो,I hmun ah kal leh rawh,Classroom Instruction
clean the blackboard,ब्लैकबोर्ड सुगुखुगोन,Blackboard sil rawh,Classroom Instruction
the answer is five,फोराय बा,Chhan chu panga a ni,Mathematics
solve this equation,बे इक्वेसन सोलभ थ,He equation hi chinfel rawh,Mathematics
calculate the area,खोंथा गिबिनाय सान थ,He hmun zat hi chhut rawh,Mathematics
find the perimeter,परिमितिखौ मुंनो,Kimvel zawng chu zat rawh,Mathematics
multiply by ten,दसाव गुन थ,Sawm-in thlakin multiply rawh,Mathematics
divide this number,बे नम्बरखौ भाग थ,He number hi then rawh,Mathematics
draw a triangle,सामफोर जिरगुन गोरसिन,Triangle siam rawh,Mathematics
